,var1,var2,var3,var4,var5,resultado
0,800,0.0,0.3048,71.3,0.00266337,126.20100000000001
1,1000,0.0,0.3048,71.3,0.00266337,125.20100000000001
2,1250,0.0,0.3048,39.6,0.00310138,125.499
3,2000,0.0,0.3048,39.6,0.00310138,123.689
4,3150,0.0,0.3048,39.6,0.00310138,120.319
5,12500,0.0,0.3048,39.6,0.00310138,109.619
6,400,0.0,0.3048,31.7,0.00331266,125.045
7,5000,0.0,0.3048,31.7,0.00331266,115.645
8,8000,0.0,0.3048,31.7,0.00331266,110.515
9,3150,1.5,0.3048,71.3,0.00336729,123.39200000000001
10,12500,1.5,0.3048,71.3,0.00336729,109.22200000000001
11,2000,3.0,0.3048,71.3,0.00425727,125.524
12,315,3.0,0.3048,39.6,0.00495741,123.31200000000001
13,500,3.0,0.3048,39.6,0.00495741,127.632
14,2500,3.0,0.3048,39.6,0.00495741,120.162
15,5000,3.0,0.3048,39.6,0.00495741,115.792
16,8000,4.0,0.3048,71.3,0.00497773,113.665
17,315,4.0,0.3048,39.6,0.00579636,126.84299999999999
18,1250,0.0,0.2286,71.3,0.00214345,128.144
19,20000,0.0,0.2286,71.3,0.00214345,114.47399999999999
20,1600,0.0,0.2286,55.5,0.00229336,126.79
21,1250,0.0,0.2286,39.6,0.00253511,129.395
22,4000,2.0,0.2286,71.3,0.00293031,124.086
23,5000,2.0,0.2286,71.3,0.00293031,122.816
24,10000,2.0,0.2286,71.3,0.00293031,113.086
25,4000,2.0,0.2286,55.5,0.00313525,122.23200000000001
26,1250,2.0,0.2286,31.7,0.00372371,128.67700000000002
27,8000,4.0,0.2286,71.3,0.00400603,112.848
28,1600,4.0,0.2286,55.5,0.0042861999999999996,128.264
29,500,4.0,0.2286,39.6,0.00473801,127.039
30,4000,4.0,0.2286,39.6,0.00473801,119.15899999999999
31,5000,4.0,0.2286,39.6,0.00473801,117.649
32,400,5.3,0.2286,71.3,0.0051942,127.7
33,2500,5.3,0.2286,71.3,0.0051942,123.74
34,200,7.3,0.2286,71.3,0.010440399999999999,138.75799999999998
35,6300,7.3,0.2286,71.3,0.010440399999999999,115.818
36,800,7.3,0.2286,55.5,0.011170600000000001,128.444
37,250,7.3,0.2286,39.6,0.0123481,131.889
38,315,7.3,0.2286,39.6,0.0123481,132.149
39,1000,7.3,0.2286,39.6,0.0123481,122.539
40,2500,7.3,0.2286,39.6,0.0123481,116.559
41,5000,7.3,0.2286,39.6,0.0123481,111.959
42,10000,0.0,0.1524,71.3,0.0015988,120.24700000000001
43,1250,0.0,0.1524,55.5,0.00172668,129.953
44,3150,0.0,0.1524,55.5,0.00172668,127.75299999999999
45,1250,0.0,0.1524,39.6,0.00193287,131.023
46,1250,0.0,0.1524,31.7,0.00209405,131.467
47,4000,0.0,0.1524,31.7,0.00209405,123.807
48,8000,0.0,0.1524,31.7,0.00209405,117.95700000000001
49,630,2.7,0.1524,71.3,0.00243851,127.404
50,800,2.7,0.1524,71.3,0.00243851,127.39399999999999
51,5000,2.7,0.1524,71.3,0.00243851,124.36399999999999
52,1000,5.4,0.1524,71.3,0.00401199,133.201
53,2000,5.4,0.1524,71.3,0.00401199,131.111
54,2500,5.4,0.1524,71.3,0.00401199,127.59100000000001
55,630,5.4,0.1524,55.5,0.00433288,131.80700000000002
56,400,5.4,0.1524,39.6,0.00485029,127.637
57,1600,5.4,0.1524,39.6,0.00485029,126.26700000000001
58,4000,5.4,0.1524,39.6,0.00485029,117.137
59,5000,5.4,0.1524,39.6,0.00485029,117.037
60,1000,5.4,0.1524,31.7,0.00525474,128.241
61,2000,5.4,0.1524,31.7,0.00525474,122.771
62,4000,5.4,0.1524,31.7,0.00525474,116.181
63,400,7.2,0.1524,71.3,0.00752039,130.123
64,1000,7.2,0.1524,71.3,0.00752039,134.273
65,315,7.2,0.1524,39.6,0.00909175,130.558
66,630,7.2,0.1524,39.6,0.00909175,133.19799999999998
67,2000,7.2,0.1524,39.6,0.00909175,120.228
68,2500,7.2,0.1524,39.6,0.00909175,117.478
69,4000,9.9,0.1524,71.3,0.019300099999999997,115.079
70,200,9.9,0.1524,55.5,0.0208438,131.955
71,250,9.9,0.1524,39.6,0.0233328,128.335
72,2500,9.9,0.1524,39.6,0.0233328,116.295
73,250,9.9,0.1524,31.7,0.0252785,128.559
74,400,9.9,0.1524,31.7,0.0252785,128.939
75,500,12.6,0.1524,39.6,0.058411300000000006,114.9
76,1000,0.0,0.0508,55.5,0.00076193,125.586
77,1600,0.0,0.0508,55.5,0.00076193,128.576
78,1600,0.0,0.0508,39.6,0.000791822,130.908
79,5000,0.0,0.0508,39.6,0.000791822,134.308
80,6300,0.0,0.0508,39.6,0.000791822,131.918
81,2500,0.0,0.0508,31.7,0.000812164,134.87
82,12500,0.0,0.0508,31.7,0.000812164,119.07
83,2500,4.2,0.0508,71.3,0.00142788,131.97799999999998
84,1250,4.2,0.0508,39.6,0.00152689,128.42700000000002
85,2000,4.2,0.0508,39.6,0.00152689,132.58700000000002
86,3150,4.2,0.0508,39.6,0.00152689,133.58700000000002
87,10000,4.2,0.0508,39.6,0.00152689,116.96700000000001
88,1250,8.4,0.0508,55.5,0.00544854,132.252
89,1600,8.4,0.0508,55.5,0.00544854,133.032
90,4000,8.4,0.0508,55.5,0.00544854,122.61200000000001
91,500,8.4,0.0508,39.6,0.00566229,122.905
92,2000,8.4,0.0508,31.7,0.00580776,127.686
93,4000,8.4,0.0508,31.7,0.00580776,118.10600000000001
94,250,11.2,0.0508,71.3,0.014072,127.101
95,4000,15.4,0.0508,71.3,0.0264269,122.675
96,200,15.4,0.0508,55.5,0.0271925,122.94
97,250,15.4,0.0508,55.5,0.0271925,124.17
98,4000,15.4,0.0508,55.5,0.0271925,120.92
99,250,15.4,0.0508,39.6,0.0282593,122.89299999999999
100,6300,15.4,0.0508,31.7,0.028985300000000002,108.185
101,500,19.7,0.0508,71.3,0.034118300000000004,126.995
102,3150,19.7,0.0508,39.6,0.036483999999999996,113.00399999999999
103,4000,19.7,0.0508,39.6,0.036483999999999996,108.684
104,8000,0.0,0.0254,71.3,0.00040068199999999997,129.86700000000002
105,16000,0.0,0.0254,71.3,0.00040068199999999997,130.477
106,2000,0.0,0.0254,55.5,0.00041229,127.62299999999999
107,5000,0.0,0.0254,55.5,0.00041229,135.803
108,12500,0.0,0.0254,55.5,0.00041229,131.453
109,16000,0.0,0.0254,39.6,0.00042846400000000004,124.986
110,1000,0.0,0.0254,31.7,0.000439472,125.12700000000001
111,6300,0.0,0.0254,31.7,0.000439472,138.537
112,4000,4.8,0.0254,71.3,0.000848633,134.928
113,10000,4.8,0.0254,55.5,0.000873218,126.944
114,800,4.8,0.0254,39.6,0.000907475,120.766
115,2000,4.8,0.0254,31.7,0.0009307889999999999,130.148
116,2000,9.5,0.0254,71.3,0.00420654,134.976
117,3150,9.5,0.0254,71.3,0.00420654,136.166
118,5000,9.5,0.0254,55.5,0.0043284,128.412
119,250,9.5,0.0254,39.6,0.00449821,116.92399999999999
120,3150,9.5,0.0254,39.6,0.00449821,129.934
121,4000,9.5,0.0254,39.6,0.00449821,127.86399999999999
122,1600,9.5,0.0254,31.7,0.00461377,131.036
123,630,12.7,0.0254,71.3,0.012180799999999999,128.878
124,1250,12.7,0.0254,71.3,0.012180799999999999,133.048
125,2000,12.7,0.0254,71.3,0.012180799999999999,134.22799999999998
126,4000,12.7,0.0254,71.3,0.012180799999999999,131.808
127,2500,12.7,0.0254,39.6,0.013025299999999998,129.02700000000002
128,250,17.4,0.0254,71.3,0.016104,113.796
129,1250,17.4,0.0254,71.3,0.016104,126.35600000000001
130,6300,17.4,0.0254,55.5,0.016570599999999998,114.861
131,1000,17.4,0.0254,31.7,0.017663099999999998,131.796
132,500,22.2,0.0254,71.3,0.0214178,117.96700000000001
133,5000,22.2,0.0254,71.3,0.0214178,125.727
134,8000,22.2,0.0254,71.3,0.0214178,121.65700000000001
135,630,22.2,0.0254,39.6,0.022902799999999997,137.026
136,12500,0.0,0.1016,71.3,0.00121072,119.375
137,800,0.0,0.1016,55.5,0.00131983,127.92
138,4000,0.0,0.1016,55.5,0.00131983,129.5
139,630,0.0,0.1016,39.6,0.00146332,125.40100000000001
140,5000,0.0,0.1016,31.7,0.00150092,124.39299999999999
141,1000,3.3,0.1016,71.3,0.00202822,131.434
142,6300,3.3,0.1016,71.3,0.00202822,124.904
143,6300,3.3,0.1016,39.6,0.00245138,120.851
144,630,3.3,0.1016,31.7,0.00251435,128.952
145,500,6.7,0.1016,55.5,0.0052139,129.343
146,800,6.7,0.1016,55.5,0.0052139,135.953
